,school_GP,school_MS,sex_F,sex_M,age,address_R,address_U,famsize_GT3,famsize_LE3,Pstatus_A,Pstatus_T,Medu,Fedu,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,passed,predicted
296,1,0,1,0,19,0,1,1,0,0,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2,0,0,1,1,1,1,1,1,0,2,3,4,2,3,2,0,no,0
381,0,1,0,1,18,1,0,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,1,1,1,4,4,3,1,3,5,5,no,0
373,0,1,1,0,17,1,0,1,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,3,5,5,1,3,1,14,no,0
60,1,0,1,0,16,1,0,1,0,0,1,4,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,yes,0
79,1,0,1,0,16,0,1,1,0,0,1,3,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,no,0
281,1,0,0,1,17,0,1,0,1,1,0,3,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,4,4,4,3,4,3,19,yes,0
245,1,0,0,1,16,0,1,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,6,yes,0
250,1,0,0,1,18,0,1,1,0,0,1,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0,1,0,1,0,4,4,5,2,4,5,0,no,0
218,1,0,1,0,17,0,1,1,0,0,1,2,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,0,0,1,1,0,1,1,0,0,3,3,3,1,4,3,3,no,0
109,1,0,1,0,16,0,1,0,1,0,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,yes,0
17,1,0,1,0,16,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,yes,0
165,1,0,0,1,16,0,1,1,0,0,1,3,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16,yes,0
24,1,0,1,0,15,1,0,1,0,0,1,2,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,no,0
126,1,0,1,0,15,0,1,0,1,1,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,yes,0
346,1,0,0,1,18,1,0,1,0,0,1,4,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,1,1,1,1,5,3,2,1,2,4,9,yes,0
176,1,0,1,0,16,0,1,1,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,yes,0
275,1,0,1,0,17,0,1,0,1,0,1,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0,1,1,1,0,1,1,1,1,4,4,4,2,3,5,6,yes,0
246,1,0,0,1,17,0,1,1,0,0,1,2,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,1,1,0,5,2,2,1,1,2,4,yes,0
239,1,0,0,1,18,0,1,1,0,0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,1,0,1,0,5,5,4,3,5,2,0,no,0
153,1,0,0,1,19,0,1,1,0,0,1,3,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,no,0
261,1,0,0,1,18,0,1,1,0,0,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,3,2,no,0
262,1,0,0,1,18,1,0,1,0,0,1,3,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,1,0,1,0,0,5,3,2,1,1,3,1,yes,0
172,1,0,0,1,17,0,1,0,1,0,1,4,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,yes,0
119,1,0,0,1,15,0,1,1,0,0,1,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,yes,0
389,0,1,1,0,18,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,1,0,0,0,1,1,1,0,0,1,1,1,1,1,5,0,no,0
198,1,0,1,0,17,0,1,1,0,0,1,4,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,24,yes,0
139,1,0,1,0,15,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,yes,0
148,1,0,0,1,16,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,no,0
322,1,0,1,0,17,1,0,0,1,0,1,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,3,0,0,1,1,1,1,1,1,0,3,3,2,2,2,3,3,yes,0
36,1,0,0,1,15,0,1,0,1,0,1,4,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,yes,0
287,1,0,1,0,17,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,6,yes,0
152,1,0,1,0,15,1,0,1,0,0,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,yes,0
349,0,1,0,1,18,1,0,1,0,0,1,3,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,1,0,1,0,0,0,1,1,0,2,5,5,5,5,5,10,yes,0
382,0,1,0,1,17,0,1,1,0,0,1,2,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,0,0,0,0,1,1,1,1,0,4,4,3,1,1,3,2,yes,0
59,1,0,1,0,16,0,1,1,0,0,1,4,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,yes,0
111,1,0,1,0,16,1,0,1,0,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,yes,0
325,1,0,0,1,18,0,1,1,0,0,1,4,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,1,1,1,1,0,4,3,3,2,2,3,3,yes,0
249,1,0,0,1,16,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,4,3,2,2,4,5,0,yes,0
6,1,0,0,1,16,0,1,0,1,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,yes,0
284,1,0,1,0,17,0,1,1,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,1,0,5,4,5,1,2,5,4,yes,0
271,1,0,1,0,18,0,1,1,0,0,1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4,0,0,1,1,1,1,1,1,1,4,5,5,1,3,2,4,yes,0
150,1,0,0,1,18,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,no,0
10,1,0,1,0,15,0,1,1,0,0,1,4,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,no,0
192,1,0,0,1,17,0,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12,no,0
103,1,0,1,0,15,0,1,1,0,0,1,3,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,no,0
81,1,0,0,1,15,0,1,1,0,0,1,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,yes,0
290,1,0,0,1,18,0,1,1,0,0,1,4,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,1,1,1,1,1,4,3,2,1,4,5,11,yes,0
366,0,1,0,1,18,0,1,0,1,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,3,0,0,0,1,0,1,1,1,1,4,2,2,2,2,5,0,yes,0
202,1,0,1,0,17,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4,yes,0
345,1,0,1,0,18,0,1,1,0,0,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,1,1,1,1,5,4,3,2,3,1,7,yes,0
163,1,0,0,1,17,0,1,1,0,0,1,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,yes,0
297,1,0,1,0,18,0,1,0,1,0,1,4,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,2,0,0,1,1,0,1,1,1,1,4,4,5,1,2,2,10,no,0
89,1,0,0,1,16,0,1,0,1,1,0,4,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,no,0
203,1,0,1,0,17,1,0,1,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18,no,0
147,1,0,1,0,15,0,1,1,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,yes,0
222,1,0,1,0,16,0,1,1,0,0,1,2,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2,yes,0
92,1,0,1,0,16,0,1,0,1,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,no,0
69,1,0,1,0,15,1,0,0,1,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,yes,0
123,1,0,0,1,16,0,1,1,0,0,1,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,yes,0
96,1,0,0,1,16,1,0,1,0,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,yes,0
143,1,0,1,0,16,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,yes,0
299,1,0,0,1,18,0,1,0,1,0,1,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,4,2,2,2,1,5,yes,0
97,1,0,1,0,16,0,1,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,yes,0
232,1,0,0,1,17,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,1,1,0,1,1,1,1,1,4,5,5,1,3,2,14,no,0
68,1,0,1,0,15,1,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,no,0
23,1,0,0,1,16,0,1,0,1,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,yes,0
37,1,0,0,1,16,1,0,1,0,1,0,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,yes,0
144,1,0,0,1,17,0,1,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,no,0
122,1,0,1,0,16,0,1,0,1,0,1,2,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,yes,0
67,1,0,1,0,16,0,1,1,0,0,1,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,no,0
180,1,0,0,1,16,0,1,1,0,0,1,4,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,no,0
208,1,0,1,0,16,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,4,3,2,1,4,5,6,yes,0
282,1,0,1,0,18,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,4,0,0,1,1,1,1,1,0,0,5,2,2,1,1,3,1,yes,0
369,0,1,1,0,18,1,0,1,0,0,1,4,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,2,0,0,1,1,0,0,1,1,1,3,2,2,4,2,5,10,yes,0
280,1,0,0,1,17,0,1,0,1,1,0,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,1,1,1,1,1,4,5,4,2,4,5,30,no,0
125,1,0,0,1,15,0,1,1,0,0,1,3,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,yes,0
146,1,0,1,0,15,0,1,1,0,0,1,3,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,no,0
229,1,0,1,0,17,0,1,1,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,10,yes,0
86,1,0,1,0,16,0,1,0,1,0,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,no,0
332,1,0,1,0,18,0,1,1,0,0,1,3,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,0,5,3,4,1,1,4,0,no,0
219,1,0,1,0,17,0,1,1,0,0,1,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4,yes,0
333,1,0,1,0,18,0,1,0,1,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,1,1,1,4,3,3,1,1,2,0,no,0
195,1,0,1,0,17,0,1,0,1,0,1,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,0,yes,0
274,1,0,1,0,17,0,1,1,0,0,1,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,2,0,0,1,1,0,1,1,1,1,4,3,3,1,1,1,2,yes,0
298,1,0,1,0,18,0,1,1,0,0,1,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,4,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0,yes,0
183,1,0,1,0,17,0,1,0,1,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56,no,0
220,1,0,1,0,17,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2,no,0
312,1,0,0,1,19,0,1,1,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,1,0,4,5,2,2,2,4,3,yes,0
336,1,0,1,0,19,1,0,1,0,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,1,0,0,1,0,1,1,0,0,5,4,3,1,2,5,12,yes,0
278,1,0,1,0,18,0,1,1,0,0,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,1,1,1,0,1,1,1,1,1,2,4,4,1,1,4,15,no,0
129,1,0,0,1,16,1,0,1,0,0,1,4,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,yes,0
38,1,0,1,0,15,1,0,1,0,0,1,3,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,yes,0
11,1,0,1,0,15,0,1,1,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,yes,0
266,1,0,0,1,17,0,1,1,0,0,1,3,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,1,1,1,1,1,5,4,4,3,4,5,2,yes,0
185,1,0,0,1,17,0,1,1,0,0,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12,yes,0
233,1,0,0,1,16,0,1,1,0,0,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,1,1,1,1,1,1,0,4,2,4,2,4,1,2,yes,0
112,1,0,1,0,16,0,1,1,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,yes,0
179,1,0,0,1,17,0,1,1,0,0,1,4,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,yes,0
265,1,0,0,1,18,1,0,0,1,1,0,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,1,1,1,1,1,0,4,2,5,3,4,1,13,yes,0
277,1,0,0,1,18,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,1,1,1,1,1,0,3,2,4,1,4,3,22,no,0
117,1,0,0,1,16,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,yes,0
363,0,1,1,0,17,0,1,0,1,0,1,4,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,1,1,1,1,1,2,3,4,1,1,1,0,yes,0
347,1,0,0,1,18,0,1,1,0,0,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,0,1,1,0,1,1,1,1,5,4,5,2,3,5,0,no,0
379,0,1,1,0,17,1,0,1,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,1,0,1,1,0,4,5,4,2,3,1,17,yes,0
283,1,0,1,0,18,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,4,yes,0
357,0,1,1,0,17,0,1,0,1,1,0,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,1,1,0,1,1,2,3,1,2,5,2,yes,0
164,1,0,0,1,17,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,no,0
247,1,0,0,1,22,0,1,1,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,3,0,0,0,0,0,0,1,1,5,4,5,5,5,1,16,no,0
136,1,0,0,1,17,1,0,1,0,0,1,3,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,no,0
154,1,0,1,0,17,0,1,1,0,0,1,4,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,yes,0
199,1,0,1,0,16,0,1,0,1,0,1,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0,yes,0
197,1,0,0,1,16,1,0,0,1,0,1,3,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,3,1,0,0,1,1,1,1,1,1,0,3,3,4,3,5,3,8,yes,0
387,0,1,1,0,19,1,0,1,0,0,1,2,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,1,0,1,1,0,5,4,2,1,2,5,0,no,0
2,1,0,1,0,15,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,yes,0
204,1,0,1,0,16,1,0,1,0,0,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6,yes,0
115,1,0,0,1,16,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,yes,0
228,1,0,0,1,18,0,1,0,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,2,0,1,1,1,1,1,1,1,1,4,3,2,4,5,3,14,no,0
231,1,0,0,1,17,1,0,1,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,2,0,0,1,1,1,1,1,1,0,4,5,2,1,1,1,4,yes,0
26,1,0,0,1,15,0,1,1,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,yes,0
120,1,0,1,0,15,0,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,yes,0
302,1,0,1,0,17,0,1,1,0,0,1,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0,yes,0
